STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,1.646128,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,1.58483,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,1.554357,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,1.496624,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,1.531729,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-08,,1.576885,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-09,,1.695224,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-10,,1.884216,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,SAU,Saudi Arabia,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-11,,1.980738,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,4.913076,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,4.593373,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,4.898267,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-03,,4.20105,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-04,,3.874814,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-05,,3.86043,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-06,,3.665689,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-07,,2.147459,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-08,,2.442529,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-09,,4.218182,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-10,,4.407515,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,IND,India,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-11,,3.882099,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023-12,,-0.3,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-01,,-0.8,,A,Normal value,0,Units,,,,,1,One
DATAFLOW,OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),"G20 - Consumer price indices, all items",I,CHN,China (People’s Republic of),M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2024-02,,0.7,,A,Normal value,0,Units,,,,,1,One
